date,ticker,sentiment
2/2/2016,POM,-1
2/2/2016,CB,-3
2/2/2016,CVX,-1
2/2/2016,MMC,-1
2/2/2016,TWX,-3
2/2/2016,AEP,-3
2/2/2016,SILV-C,1
2/2/2016,LYB,-1
2/2/2016,GS,-1
2/2/2016,CNX,-3
2/2/2016,CORN-C,-1
2/2/2016,KORS,-1
2/2/2016,BLK,-1
2/2/2016,STJ,-1
2/2/2016,SYK,-1
2/2/2016,LM,-3
2/2/2016,EMR,-1
2/2/2016,D,4
2/2/2016,GTN,-1
2/2/2016,BA,4
2/2/2016,P,-3
2/2/2016,CCL,1
2/2/2016,EOG,-3
2/2/2016,SCHW,-1
2/2/2016,VFC,-1
2/2/2016,APA,-1
2/2/2016,NGAS-C,-1
2/2/2016,AMZN,-1
2/2/2016,FCX,-3
2/2/2016,IP,-1
2/2/2016,EBAY,-1
2/2/2016,INTU,1
2/2/2016,MOS,-3
2/2/2016,XRX,-1
2/2/2016,AA,-1
2/2/2016,JPYFX,-3
2/2/2016,CLF,1
2/2/2016,HRL,6
2/2/2016,JOY,-3
2/2/2016,MUR,-1
2/2/2016,OIL-C,2
2/2/2016,VPRT,6
2/2/2016,HRB,6
2/2/2016,VALE,6
2/2/2016,APH,4
2/2/2016,DUK,-1
2/2/2016,BAC,-1
2/2/2016,CME,-1
2/2/2016,SCHL,-1
2/2/2016,ACT,-1
2/2/2016,JCI,2
2/2/2016,COG,-1
2/2/2016,WFC,-1
2/2/2016,BIIB,1
2/2/2016,FE,-1
2/2/2016,RTN,2
2/2/2016,WMB,3
2/2/2016,MCK,2
2/2/2016,GBPFX,6
2/2/2016,FITB,-1
2/2/2016,DD,-3
2/2/2016,KIM,-1
2/2/2016,HOG,6
2/2/2016,F,6
2/2/2016,DG,-3
2/2/2016,AN,-1
2/2/2016,MCHP,3
2/2/2016,FL,-1
2/2/2016,ABT,2
2/2/2016,ETFC,-1
2/2/2016,ANF,6
2/2/2016,MS,1
2/2/2016,DAL,6
2/2/2016,AFL,4
2/2/2016,CMG,-1
2/2/2016,BBT,-1
2/2/2016,CRM,1
2/2/2016,DRI,6
2/2/2016,ICE,1
2/2/2016,FMCC,6
2/2/2016,MON,6
2/2/2016,BHI,-1
2/2/2016,TEL,-1
2/2/2016,DHI,-3
2/2/2016,SIRI,-1
2/2/2016,GRPN,1
2/2/2016,FLS,-1
2/2/2016,BBY,-1
2/2/2016,MRK,-1
2/2/2016,MO,1
2/2/2016,COFF-C,5
2/2/2016,FB,6
2/2/2016,UPS,1
2/2/2016,DOW,6
2/2/2016,PETM,-3
2/2/2016,AIG,-1
2/2/2016,EQT,-1
2/2/2016,L,-3
2/2/2016,ESRX,-1
2/2/2016,DVN,-1
2/2/2016,UNP,-1
2/2/2016,V,5
2/2/2016,BLL,-1
2/2/2016,IFF,-3
2/2/2016,K,2
2/2/2016,C,1
2/2/2016,CL,-3
2/2/2016,AGN,6
2/2/2016,XLNX,-1
2/2/2016,LNKD,2
2/2/2016,ADP,-1
2/2/2016,COP,-1
2/2/2016,BDX,-1
2/2/2016,GE,5
2/2/2016,JPM,-1
2/2/2016,HTZ,1
2/2/2016,LMT,2
2/2/2016,APOL,-1
2/2/2016,UNH,-1
2/2/2016,STT,-1
2/2/2016,S,4
2/2/2016,ZNGA,2
2/2/2016,SPG,-1
2/2/2016,MAT,2
2/2/2016,HD,1
2/2/2016,PHM,-1
2/2/2016,MCO,-3
2/2/2016,LUK,-1
2/2/2016,TSN,-1
2/2/2016,MWV,-1
2/2/2016,EA,-1
2/2/2016,AIZ,-1
2/2/2016,NUS,-3
2/2/2016,UA,6
2/2/2016,ABBV,1
2/2/2016,HAS,-1
2/2/2016,BRCM,-1
2/2/2016,LEG,-1
2/2/2016,KMB,6
2/2/2016,LLY,-3
2/2/2016,DTE,-1
2/2/2016,GMCR,-3
2/2/2016,RRC,-1
2/2/2016,IGT,-1
2/2/2016,CBS,-1
2/2/2016,DDD,-3
2/2/2016,BKS,-3
2/2/2016,LLTC,-3
2/2/2016,ROP,-1
2/2/2016,PEG,4
2/2/2016,TROW,1
2/2/2016,DIS,1
2/2/2016,ADT,2
2/2/2016,QEP,-1
2/2/2016,CVS,3
2/2/2016,MKC,-1
2/2/2016,STI,-3
2/2/2016,SHW,-1
2/2/2016,HIG,-1
2/2/2016,SWY,-1
2/2/2016,CHFFX,3
2/2/2016,JEC,2
2/2/2016,TSLA,-3
2/2/2016,GME,-3
2/2/2016,BAX,-1
2/2/2016,UTX,1
2/2/2016,MNST,-1
2/2/2016,GRMN,6
2/2/2016,CAG,-1
2/2/2016,HSP,-1
2/2/2016,TYC,-3
2/2/2016,EURFX,-3
2/2/2016,SWN,1
2/2/2016,CF,-1
2/2/2016,HRS,-1
2/2/2016,CELG,-1
2/2/2016,GOLD-C,2
2/2/2016,MHFI,1
2/2/2016,SUG-C,3
2/2/2016,MA,2
2/2/2016,KMI,1
2/2/2016,EFX,-1
2/2/2016,DO,-1
2/2/2016,MDT,2
2/2/2016,HAL,-1
2/2/2016,DHR,-1
2/2/2016,LLL,-1
2/2/2016,CMS,-1
2/2/2016,AXP,1
2/2/2016,JWN,-1
2/2/2016,LUV,2
2/2/2016,RSG,-3
2/2/2016,PG,-1
2/2/2016,FAST,2
2/2/2016,MSI,-1
2/2/2016,ATVI,-1
2/2/2016,IRM,5
2/2/2016,MU,1
2/2/2016,USDFX,-1
2/2/2016,PETS,-1
2/2/2016,CNP,6
2/2/2016,MMM,6
2/2/2016,PCS,6
2/2/2016,AEE,-1
2/2/2016,MAR,2
2/2/2016,SO,1
2/2/2016,AMD,-1
2/2/2016,BTCUSD,-3
2/2/2016,INTC,-1
2/2/2016,WDC,-1
2/2/2016,WYN,-1
2/2/2016,ADM,-1
2/2/2016,BCR,1
2/2/2016,CMCSA,4
2/2/2016,CAH,-3
2/2/2016,CCE,-1
2/2/2016,GD,-3
2/2/2016,R,2
2/2/2016,MYL,4
2/2/2016,MET,-3
2/2/2016,ACN,-1
2/2/2016,GM,-1
2/2/2016,ABC,-1
2/2/2016,DISCA,-1
2/2/2016,MPC,-3
2/2/2016,APC,-1
2/2/2016,SYY,-1
2/2/2016,AET,-1
2/2/2016,GILD,-1
2/2/2016,XRAY,-1
2/2/2016,KSU,1
2/2/2016,MSFT,-3
2/2/2016,JNPR,-1
2/2/2016,YHOO,-1
2/2/2016,HOT,-1
2/2/2016,BMY,6
2/2/2016,WAG,6
2/2/2016,WYNN,3
2/2/2016,TAP,-1
2/2/2016,TWC,-1
2/2/2016,IBM,6
2/2/2016,AAPL,-1
2/2/2016,EXC,1
2/2/2016,LNC,-3
2/2/2016,YUM,-1
2/2/2016,QCOR,-3
2/2/2016,ECYT,-3
2/2/2016,EMN,-1
2/2/2016,TM,-1
2/2/2016,CAT,-3
2/2/2016,LRCX,2
2/2/2016,TWTR,-3
2/2/2016,LEN,-1
2/2/2016,GOOG,-1
2/2/2016,KR,-1
2/2/2016,ORCL,-1
2/2/2016,TRIP,-1
2/2/2016,MRO,1
2/2/2016,FDX,2
2/2/2016,VIAB,-1
2/2/2016,GIS,-3
2/2/2016,TSO,1
2/2/2016,MJN,6
2/2/2016,LULU,4
2/2/2016,COH,2
2/2/2016,BSX,-3
2/2/2016,CHRW,-3
2/2/2016,BBRY,4
2/2/2016,KLAC,-1
2/2/2016,COP-C,-3
